"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-37b93569228049e6b5f7e0b1320ac59d","AccessRelationship","","","id-07ed34fe2698410db8c86f7591104c00","id-967cbf3b192549458e4ff211148c384d",""
"id-ba1db3df6eeb4d7b9911b3834dc62340","AccessRelationship","","","id-07ed34fe2698410db8c86f7591104c00","id-b44e76c5c8da49ab86c3abb9dd5d4c20",""
"id-a1b86c5157f84698a521ed7e86e2286a","AccessRelationship","","","id-98e559d95443448bbf5b31eef892b940","id-77b605197998497e8b660596890d6af4",""
"id-20aff35e4f9c46ee9881bd4c0e6effac","AccessRelationship","","","id-98e559d95443448bbf5b31eef892b940","id-1453876bc5f14e1f8010dd32c255a355",""
"id-859979e9b51b48a5a874ef301d4cdd43","AccessRelationship","","","id-98e559d95443448bbf5b31eef892b940","id-40e132c4454449948f11957783ef873b",""
"id-80872bf481f3459a8a265fc6a220580f","AccessRelationship","","","id-e86f17f33b0a4e5c90cd0a662d88d932","id-1453876bc5f14e1f8010dd32c255a355",""
"id-2f30ddd85bcd4b2ab206d4d3c4193c00","AccessRelationship","","","id-e86f17f33b0a4e5c90cd0a662d88d932","id-77b605197998497e8b660596890d6af4",""
"id-28a17338f7b648708c788a85f7b868cf","AccessRelationship","","","id-e86f17f33b0a4e5c90cd0a662d88d932","id-40e132c4454449948f11957783ef873b",""
"id-7c3a172d8f3e49b4b0bc3e960938ea87","AccessRelationship","","","id-0d7a06dbcaa140398efa573d6eb189dc","id-1453876bc5f14e1f8010dd32c255a355",""
"id-70098010262046ea8cea56491e9971fe","AccessRelationship","","","id-0d7a06dbcaa140398efa573d6eb189dc","id-77b605197998497e8b660596890d6af4",""
"id-d4cc9f40ce904bc885922ceff1b16894","AccessRelationship","","","id-0d7a06dbcaa140398efa573d6eb189dc","id-40e132c4454449948f11957783ef873b",""
"id-53651b5b2af4459c87e58ae91056f7e5","AccessRelationship","","","id-ab9dfcc1efcb47cda7df019d24c26fd6","id-c59dbd028f6844c6b5cc4f45922c9477",""
"id-37a04bbbf8e8483d91711dba01c5e754","AccessRelationship","","","id-0d7a06dbcaa140398efa573d6eb189dc","id-c59dbd028f6844c6b5cc4f45922c9477",""
"id-3c4b68b82f5f4fad9d901f6e040d56c6","AccessRelationship","","","id-54d8a41d31264f16ade53f0bf129648a","id-79153c02634c4a2fa0c08ee5c83cdd84",""
"id-dd594620bdd94479a764beae952dd95a","AccessRelationship","","","id-224e7d01e66348f5b59e93bd45e75476","id-fd39ff8e80d3463eb514f35ab5bc3886",""
"id-0e9773b9b47140a49aadee230da4f9a5","AccessRelationship","","","id-224e7d01e66348f5b59e93bd45e75476","id-c1181b166d2e4cc98be66e84d71a7955",""
"id-324980525a154385ad692136cd62a6e1","AccessRelationship","","","id-224e7d01e66348f5b59e93bd45e75476","id-0e91bed3aaf74ef7950a41503cb96d11",""
"id-eb390e34448b4a3c80d8a5bd5fbcc634","AccessRelationship","","","id-b55ab4a9655f46ee9b29886c665923bb","id-cade0727253144a4ab801b61e1c66ec6",""
"id-193dca4d4e1040aba394e29289519b30","AccessRelationship","","","id-240241d14628451db3199adb4e59e1e4","id-cade0727253144a4ab801b61e1c66ec6",""
"id-5f6901ecbb294b1a83595396fa7d7be7","AccessRelationship","","","id-b55ab4a9655f46ee9b29886c665923bb","id-c039b40f135140d89ab9ad9803815819",""
"id-626225071a4b4e3cbe6f145bd3818523","AccessRelationship","","","id-240241d14628451db3199adb4e59e1e4","id-c039b40f135140d89ab9ad9803815819",""
"id-09f3d31e607b474fa5dc5118b79e1321","AssociationRelationship","","","id-1343aba46eaf44dda7506ea8aaf6f0a1","id-001ad3bd09b64c89b04048b812ba648d",""
"id-e63450100dbc4a7085390c1937d9fb4f","AssociationRelationship","","","id-1343aba46eaf44dda7506ea8aaf6f0a1","id-110afcdc3023443e97b0f75baa181027",""
"id-4f9ae80859fa4eecbb221000d9bcf073","CompositionRelationship","","","id-c2a1ff4ea6314ef58bf146f718ed6ead","id-e86f17f33b0a4e5c90cd0a662d88d932",""
"id-ac7da6e0281d41938ef12d6b60cf77b6","CompositionRelationship","","","id-c2a1ff4ea6314ef58bf146f718ed6ead","id-8c34df3a2c3c4fc09fe93924f031c8eb",""
"id-0a3ea112a6fa45dcaee9ed6c70c05eb3","CompositionRelationship","","","id-cfe63bdc511e4439a9fbfa89ec629f54","id-ab9dfcc1efcb47cda7df019d24c26fd6",""
"id-a917000fe7694d768517d7eabcb82358","FlowRelationship","","","id-e36f2c8e7fae443daeab8c8e2b94b57a","id-224e7d01e66348f5b59e93bd45e75476",""
"id-2b6dac17ef2a4d11b1c92eecf0ea94cb","RealizationRelationship","","","id-e36f2c8e7fae443daeab8c8e2b94b57a","id-110afcdc3023443e97b0f75baa181027",""
"id-6e8287df2dcd45d1aefb43421d172f6b","RealizationRelationship","","","id-b55ab4a9655f46ee9b29886c665923bb","id-224e7d01e66348f5b59e93bd45e75476",""
"id-590a7136a8364ffe9e316cc555b15e2a","RealizationRelationship","","","id-b55ab4a9655f46ee9b29886c665923bb","id-240241d14628451db3199adb4e59e1e4",""
"id-3bd77570b170477faaca8c9644a326fd","RealizationRelationship","","","id-e36f2c8e7fae443daeab8c8e2b94b57a","id-001ad3bd09b64c89b04048b812ba648d",""
"id-2a72bc07c0d843239b84e658ea05eeba","RealizationRelationship","","","id-98e559d95443448bbf5b31eef892b940","id-54d8a41d31264f16ade53f0bf129648a",""
"id-81db6652f24c454ebce4b9ab5e9abe7d","RealizationRelationship","","","id-07ed34fe2698410db8c86f7591104c00","id-e36f2c8e7fae443daeab8c8e2b94b57a",""
"id-14fcef8d10cb42f4a06cd72c548da954","RealizationRelationship","","","id-07ed34fe2698410db8c86f7591104c00","id-110afcdc3023443e97b0f75baa181027",""
"id-9a6c57f70cb64da49adfb7b231899d14","RealizationRelationship","","","id-07ed34fe2698410db8c86f7591104c00","id-001ad3bd09b64c89b04048b812ba648d",""
"id-cf75e879616447c48c85007c362254eb","RealizationRelationship","","","id-98e559d95443448bbf5b31eef892b940","id-c2a1ff4ea6314ef58bf146f718ed6ead",""
"id-904edb0979d948c18ef9dd4495109336","RealizationRelationship","","","id-98e559d95443448bbf5b31eef892b940","id-45fb8f924ed84eef92817a16b10da519",""
"id-46d15bc8e0154e6dad6a760e54a35bdd","RealizationRelationship","","","id-e36f2c8e7fae443daeab8c8e2b94b57a","id-5299acc6893b49f5905c714827541ce5",""
"id-a69b3f450ec540458cbeed008aaf8484","ServingRelationship","","","id-54d8a41d31264f16ade53f0bf129648a","id-240241d14628451db3199adb4e59e1e4",""
"id-872af7d28e8c4b3fb52ba1e792590ab1","TriggeringRelationship","","","id-001ad3bd09b64c89b04048b812ba648d","id-240241d14628451db3199adb4e59e1e4",""
"id-a2e7361e8d8b4e1b970aadd78da34839","TriggeringRelationship","","","id-3ced036b1b754c2893e89f3c2e4af671","id-1343aba46eaf44dda7506ea8aaf6f0a1",""
"id-4be9346801094c38ae44ba382f761abb","TriggeringRelationship","","","id-224e7d01e66348f5b59e93bd45e75476","id-240241d14628451db3199adb4e59e1e4",""
"id-65a25fd0d93b4daeb88a868ab8ed319f","TriggeringRelationship","","","id-240241d14628451db3199adb4e59e1e4","id-4ab3aaa96a6041558363ceb2c1cee4c9",""
"id-2bcff77a7dbd435c8281b9fb4cbaf91d","TriggeringRelationship","","","id-4ab3aaa96a6041558363ceb2c1cee4c9","id-8c34df3a2c3c4fc09fe93924f031c8eb",""
"id-f35d625d89c54154a8b02f3dad0b698c","TriggeringRelationship","","","id-240241d14628451db3199adb4e59e1e4","id-a6211cc9d2c242cc8c6fc9cd802167f5",""
"id-882f2651269b404e84d863b00537bf60","TriggeringRelationship","","","id-3ced036b1b754c2893e89f3c2e4af671","id-5299acc6893b49f5905c714827541ce5",""
"id-8c7383d1662843589f550cb85c6404fd","TriggeringRelationship","","","id-240241d14628451db3199adb4e59e1e4","id-0d7a06dbcaa140398efa573d6eb189dc",""
"id-c758faae70e2499685ac2809a03901a7","TriggeringRelationship","","","id-4ab3aaa96a6041558363ceb2c1cee4c9","id-e86f17f33b0a4e5c90cd0a662d88d932",""
